"","x"
"1",6.799018
"2",6.77643
"3",6.900664
"4",6.731253
"5",6.787724
"6",6.878076
"7",6.88937
"8",6.844194
"9",6.855488
"10",6.765136
"11",6.742547
"12",6.640901
"13",6.799018
"14",6.77643
"15",6.753841
"16",6.799018
"17",6.652195
"18",6.77643
"19",6.674783
"20",6.708665
"21",6.697371
"22",6.640901
"23",6.595725
"24",6.607019
"25",6.731253
"26",6.607019
"27",6.618313
"28",6.652195
"29",6.674783
"30",6.505372
"31",6.539255
"32",6.686077
"33",6.595725
"34",6.584431
"35",6.584431
"36",6.629607
"37",6.584431
"38",6.539255
"39",6.494078
"40",6.573137
"41",6.41502
"42",6.505372
"43",6.448902
"44",6.561843
"45",6.35855
"46",6.437608
"47",6.573137
"48",6.505372
"49",6.482784
"50",6.426314
"51",6.561843
"52",6.41502
"53",6.47149
"54",6.426314
"55",6.392432
"56",6.392432
"57",6.381138
"58",6.403726
"59",6.573137
"60",6.392432
"61",6.437608
"62",6.392432
"63",6.347256
"64",6.381138
"65",6.290785
"66",6.437608
"67",6.392432
"68",6.245609
"69",6.426314
"70",6.302079
"71",6.302079
"72",6.279491
"73",6.47149
"74",6.335962
"75",6.35855
"76",6.313374
"77",6.245609
"78",6.302079
"79",6.313374
"80",6.302079
"81",6.245609
"82",6.177845
"83",6.245609
"84",6.460196
"85",6.166551
"86",6.200433
"87",6.335962
"88",6.211727
"89",6.110081
"90",6.110081
"91",6.234315
"92",6.098787
"93",6.008434
"94",6.087493
"95",6.042316
"96",5.951964
"97",5.918082
"98",5.99714
"99",6.008434
"100",5.895494
"101",5.839023
"102",5.771259
"103",5.861612
"104",5.839023
"105",5.647025
"106",5.8842
"107",5.647025
"108",5.703495
"109",5.601848
"110",5.714789
"111",5.726083
"112",5.601848
"113",5.839023
"114",5.703495
"115",5.759965
"116",5.759965
"117",5.793847
"118",5.771259
"119",5.771259
"120",5.782553
"121",5.872906
"122",5.669613
"123",5.680907
"124",5.590554
"125",5.669613
"126",5.635731
"127",5.511496
"128",5.647025
"129",5.534084
"130",5.534084
"131",5.40985
"132",5.477614
"133",5.432438
"134",5.387261
"135",5.251733
"136",5.353379
"137",5.263027
"138",5.285615
"139",5.116204
"140",5.183969
"141",5.116204
"142",5.059734
"143",5.059734
"144",4.969382
"145",5.071028
"146",5.014558
"147",4.99197
"148",4.901617
"149",5.025852
"150",4.890323
"151",5.10491
"152",4.912911
"153",4.856441
"154",4.890323
"155",4.845147
"156",4.958088
"157",4.788677
"158",5.037146
"159",4.845147
"160",4.99197
"161",4.924205
"162",4.924205
"163",4.912911
"164",4.788677
"165",4.958088
"166",4.958088
"167",4.879029
"168",4.901617
"169",4.867735
"170",4.811265
"171",4.811265
"172",4.845147
"173",4.912911
"174",4.867735
"175",4.777383
"176",4.856441
"177",4.833853
"178",4.822559
"179",4.766089
"180",4.833853
"181",4.811265
"182",4.698324
"183",4.766089
"184",4.924205
"185",4.799971
"186",4.754795
"187",4.720913
"188",4.777383
"189",4.619266
"190",4.63056
"191",4.698324
"192",4.766089
"193",4.664442
"194",4.732207
"195",4.743501
"196",4.698324
"197",4.641854
"198",4.57409
"199",4.68703
"200",4.585384
"201",4.720913
"202",4.449855
"203",4.709618
"204",4.51762
"205",4.51762
"206",4.664442
"207",4.495032
"208",4.461149
"209",4.427267
"210",4.404679
"211",4.449855
"212",4.404679
"213",4.246562
"214",4.427267
"215",4.291739
"216",4.415973
"217",4.201386
"218",4.314327
"219",4.370797
"220",4.111034
"221",4.133622
"222",4.178798
"223",4.269151
"224",4.15621
"225",4.201386
"226",4.111034
"227",4.111034
"228",4.065858
"229",4.291739
"230",4.133622
"231",4.111034
"232",4.077152
"233",4.178798
"234",4.178798
"235",4.054564
"236",4.122328
"237",4.144916
"238",4.054564
"239",4.09974
"240",4.111034
"241",4.178798
"242",4.065858
"243",4.065858
"244",4.291739
"245",4.111034
"246",4.111034
"247",4.031975
"248",4.269151
"249",4.167504
"250",4.031975
"251",4.144916
"252",4.15621
"253",4.122328
"254",4.065858
"255",4.09974
"256",4.065858
"257",4.065858
"258",3.986799
"259",4.291739
"260",4.088446
"261",4.088446
"262",4.020681
"263",4.122328
"264",4.246562
"265",4.031975
"266",4.167504
"267",4.144916
"268",4.065858
"269",4.065858
"270",4.246562
"271",4.21268
"272",4.111034
"273",4.065858
"274",4.178798
"275",4.15621
"276",4.122328
"277",4.190092
"278",4.122328
"279",4.280445
"280",4.09974
"281",4.133622
"282",4.167504
"283",4.111034
"284",4.144916
"285",4.201386
"286",4.246562
"287",4.122328
"288",4.111034
"289",4.246562
"290",4.190092
"291",4.122328
"292",4.190092
"293",4.15621
"294",4.201386
"295",4.167504
"296",4.111034
"297",4.15621
"298",4.111034
"299",4.178798
"300",4.133622
"301",4.15621
"302",4.111034
"303",4.077152
"304",4.178798
"305",3.919035
"306",3.941623
"307",4.009387
"308",4.009387
"309",3.873859
"310",3.907741
"311",3.941623
"312",3.941623
"313",3.896447
"314",3.862565
"315",3.975505
"316",3.896447
"317",3.998093
"318",3.907741
"319",4.065858
"320",3.851271
"321",3.986799
"322",4.009387
"323",3.885153
"324",3.998093
"325",3.986799
"326",4.020681
"327",3.885153
"328",3.896447
"329",3.941623
"330",3.975505
"331",3.907741
"332",3.952917
"333",4.009387
"334",3.941623
"335",3.828683
"336",3.930329
"337",3.998093
"338",3.998093
"339",3.873859
"340",3.885153
"341",3.930329
"342",3.862565
"343",3.851271
"344",4.020681
"345",3.896447
"346",3.839977
"347",3.896447
"348",3.930329
"349",3.885153
"350",3.885153
"351",3.941623
"352",3.964211
"353",3.783506
"354",3.964211
"355",3.930329
"356",3.919035
"357",3.896447
"358",3.941623
"359",3.919035
"360",3.930329
"361",3.885153
"362",3.986799
"363",3.885153
"364",3.851271
"365",4.031975
"366",3.851271
"367",4.031975
"368",3.828683
"369",4.088446
"370",3.885153
"371",3.930329
"372",4.020681
"373",3.986799
"374",4.031975
"375",3.839977
"376",3.998093
"377",4.065858
"378",3.952917
"379",3.839977
"380",4.065858
"381",3.919035
"382",3.952917
"383",3.930329
"384",4.009387
"385",3.907741
"386",3.862565
"387",4.122328
"388",3.941623
"389",3.930329
"390",3.919035
"391",3.986799
"392",4.04327
"393",3.828683
"394",3.952917
"395",3.919035
"396",4.009387
"397",3.930329
"398",4.04327
"399",3.930329
"400",3.941623
"401",3.839977
"402",4.09974
"403",3.839977
"404",3.986799
"405",3.930329
"406",3.885153
"407",4.020681
"408",3.919035
"409",3.941623
"410",3.964211
"411",3.873859
"412",3.930329
"413",3.941623
"414",3.930329
"415",3.986799
"416",3.919035
"417",3.998093
"418",3.930329
"419",3.806095
"420",3.941623
"421",3.975505
"422",3.998093
"423",3.806095
"424",4.04327
"425",3.851271
"426",3.930329
"427",3.907741
"428",3.952917
"429",3.998093
"430",3.885153
"431",3.941623
"432",3.919035
"433",3.964211
"434",3.896447
"435",3.975505
"436",3.873859
"437",3.919035
"438",3.896447
"439",4.088446
"440",3.919035
"441",3.998093
